-44.4773434191, 117.759115298, 0
-106.348681594, 115.821439299, 0
-166.151748397, 113.209081353, 0
-228.929301712, 111.184721169, 0
-288.223139176, 108.941635408, 0
-349.636400872, 106.434533433, 0

-410.069317873, 105.135634909, 0
-472.131364301, 100.350612177, 0
-585.030266044, 45.8308578539, 0
-612.521731539, -11.0647123419, 0
-617.296214802, -74.4110062607, 0
-597.000789683, -133.926481741, 0
-550.231049772, -180.795231093, 0
-492.95412212, -204.017185214, 0
-430.370028274, -209.36675453, 0

-398.865405152, -207.909288526, 0
-337.889126383, -205.544330098, 0
-276.951041586, -202.863128195, 0
-162.036919938, -246.964927586, 0
-93.7546784955, -196.623796488, 0
-33.5197746208, -194.217372661, 0
28.1048704697, -192.511733559, 0
87.9535151348, -190.22989865, 0
150.730883518, -185.627294775, 0
209.982561937, -185.39872543, 0
271.379862266, -183.320318833, 0
331.926233308, -183.91029784, 0

393.337022942, -187.922506698, 0



454.352753585, -175.127547424, 0
518.017226481, -156.236889341, 0
564.674255947, -119.507532313, 0
595.397853231, -63.2721626936, 0
599.656088151, -0.437417653389, 0
576.911560935, 62.1714056823, 0
534.685207087, 105.692526849, 0
473.968791955, 129.467390834, 0



413.157491433, 137.57935584, 0
